State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Households_with_Internet,Sex_ratio,literacy_rate
Tamil Nadu,Madurai,9.904313833,78.01366033,623,3038252,1526475,1511777,2273430,34097,99.03712802,74.82690705
Tamil Nadu,Nagapattinam,10.78946816,79.79437299,618,1616450,798127,818323,1213008,5585,102.5304244,75.04147979
Tamil Nadu,Namakkal,11.33766638,78.14624841,609,1726601,869280,857321,1176131,8960,98.62426376,68.11828558
Tamil Nadu,Perambalur,11.26013776,78.86034012,615,565223,282157,283066,375823,1507,100.3221611,66.49110174
Tamil Nadu,Pudukkottai,10.13051482,79.05444484,621,1618345,803188,815157,1110545,4494,101.4901866,68.62226534
Tamil Nadu,Ramanathapuram,9.312869952,78.99185362,626,1353445,682658,670787,978946,5172,98.26106191,72.32994322
Tamil Nadu,Salem,11.6293242,78.2478258,608,3482056,1781571,1700485,2285562,20660,95.44862371,65.63828956
Tamil Nadu,Sivaganga,9.960306581,78.56535729,622,1339101,668672,670429,959744,5773,100.2627596,71.67077017
Tamil Nadu,Thanjavur,10.38769226,79.31948691,620,2405890,1182416,1223474,1790998,13495,103.472382,74.44222304
Tamil Nadu,Theni,9.924066667,77.43458833,624,1245899,625683,620216,870080,4667,99.12623485,69.83551636
Tamil Nadu,Thiruvallur,13.2758581,80.19724703,602,3728104,1876062,1852042,2791721,75634,98.71965852,74.88313094
Tamil Nadu,Thiruvarur,10.36892741,79.60322894,619,1264277,626693,637584,946471,4416,101.7378525,74.862629
Tamil Nadu,Tiruvannamalai,12.41931895,79.23265632,606,2464875,1235889,1228986,1626813,6445,99.44145469,65.99981743
Tamil Nadu,Vellore,12.78488263,79.02643284,605,3936331,1961688,1974643,2773928,20623,100.6604006,70.46988681
Tamil Nadu,Virudhunagar,9.468872196,77.87641469,625,1942288,967709,974579,1398788,10219,100.7099242,72.01753808
Tripura,Dhalai,23.78136048,91.94654283,291,378230,194544,183686,276217,273,94.41874332,73.02884488
Tripura,North Tripura,24.12173976,92.17842538,292,693947,352860,341087,520402,997,96.66354928,74.99160599
Tripura,South Tripura,23.2118741,91.60658076,290,876001,447544,428457,646810,948,95.73516794,73.8366737
Tripura,West Tripura,23.78016624,91.41310789,289,1725739,879428,846311,1361354,6394,96.23425681,78.88527755
Uttar Pradesh,Agra,26.99512975,78.05278292,146,4418797,2364953,2053844,2680510,27183,86.84502398,60.66153299
Uttar Pradesh,Aligarh,27.93748577,78.00146831,143,3673889,1951996,1721893,2092567,13634,88.21191232,56.95781772
Uttar Pradesh,Allahabad,25.39203866,82.05172447,175,5954391,3131807,2822584,3665727,24122,90.12637113,61.56342437
Uttar Pradesh,Ambedkar Nagar,26.39119026,82.68282143,178,2397888,1212410,1185478,1486939,2509,97.77863924,62.01036078
Uttar Pradesh,Auraiya,26.66892394,79.42637057,162,1379545,740040,639505,930836,2404,86.41492352,67.47413096
Uttar Pradesh,Azamgarh,26.00829095,83.01220251,191,4613913,2285004,2328909,2771917,6652,101.9214408,60.07735733
Uttar Pradesh,Baghpat,29.0457935,77.302663,139,1303048,700070,602978,797970,2989,86.13110118,61.23872643
Uttar Pradesh,Bahraich,27.6917763,81.46779783,180,3487731,1843884,1643847,1398368,2681,89.15132405,40.09391779
